Processed_Text,Raw_Text,Label
play etf reminder n't even hold overnight often fd short etf first big swing tuesday 'd march come back half ish today march actually go lucky awhile always save bullet yo average downbetter trade future honesty,T h o s e   w h o   P l a y   e t f s . .   a   r e m i n d e r .   D o n ' t   e v e n   h o l d   t h e s e   o v e r n i g h t   t h a t   o f t e n . . .   t h e y   j u s t   f d   t h e   s h o r t   e t f s . . .   f i r s t   t h e   b i g   s w i n g   u p   T u e s d a y . .   t h e n   w e ' d   M a r c h   o n l y   c a m e   b a c k   h a l f   i s h   a n d   t o d a y .   M a r c h   a c t u a l l y   w e n t   u p . .   l u c k y   I   b e e n   d o i n g   t h i s   f o r   a w h i l e   a n d   a l w a y s   s a v e   b u l l e t s   y o   a v e r a g e   d o w n . . . . . b e t t e r   t   t r a d e   f u t u r e s   i n   h o n e s t y   o r  ,0.5
kind amaze ng contract price $ 4 next year,k i n d   o f   a m a z e d   a t   h o w   N g   c o n t r a c t s   a r e   p r i c e d   o v e r   $ 4   t h r o u g h   a l l   o f   n e x t   y e a r,0
anyone hold short weekend,A n y o n e   h o l d i n g   s h o r t   o v e r   w e e k e n d ?,0
yes,y e s   i   d o,0.5
take risk,t a k i n g   t h e   r i s k   m y s e l f,0.5
know ng close monday night right,y o u   a l l   k n o w   N g   i s   c l o s e d   u n t i l   M o n d a y   n i g h t   r i g h t ?,0.5
usually start trade morning,u s u a l l y   s t a r t s   t r a d i n g   i n   t h e   m o r n i n g,0.5
guess depend live u market close monday,g u e s s   i t   d e p e n d s   w h e r e   y o u   l i v e   b u t   u s   m a r k e t s   a r e   c l o s e d   M o n d a y,0.5
danemark thank,D o n   D a n e m a r k   t h a n k,0.5
monthly candle beautiful news reach 7 easily 👌,t h e   m o n t h l y   c a n d l e   w i t h   s o m e   b e a u t i f u l   n e w s   r e a c h e s   7   e a s i l y   👌  ,1
news u want u findperfect timeinflationrising tensionsthe pandemic last cold weather u say,a n y   n e w s   t h a t   u   w a n t   u   c a n   f i n d . . . p e r f e c t   t i m e . . . i n f l a t i o n . . . r i s i n g   t e n s i o n s . . . t h e   p a n d e m i c   a n d   t h e   l a s t   t h e   c o l d   w e a t h e r   t h a t   u   s a y,1
green energy,a s   g r e e n   e n e r g y  ,0.5
u want news pump,u   w a n t   m o r e   n e w s   f o r   p u m p i n g   t h i s   u p,0.5
one shoot russia weekend rocket,O n e   s h o t   f r o m   R u s s i a   o v e r   w e e k e n d   a n d   t h i s   w i l l   r o c k e t  ,1
believe n't trade ng,i f   y o u   b e l i e v e   t h a t   y o u   s h o u l d n ' t   t r a d e   N g .  ,0.5
us natural gas consume mostly american market highly doubt react crude sure woulx,"t h i s   i s   U S   N a t u r a l   g a s   c o n s u m e d   m o s t l y   b y   A m e r i c a n   m a r k e t ,   i   h i g h l y   d o u b t   t h i s   w i l l   r e a c t   t o   t h a t   b u t   c r u d e   s u r e   w o u l x",0.5
weather normal 'd 1x purely co consistently maxed lng export give ng new floor price lng ever drop normal level 'd 0x quite quick,"i f   w e a t h e r   n o r m a l ,   w e ' d   b e   a t   1 . x   p u r e l y   c o s   c o n s i s t e n t l y   m a x e d   o u t   L N G   e x p o r t s   i s   g i v i n g   a   N G   a   n e w   f l o o r   p r i c e .   I f   L N G   w a s   e v e r   t o   d r o p   t o   n o r m a l   l e v e l s   w e ' d   b e   a t   0 . x   q u i t e   q u i c k",0.5
good weekend everyone hope next week quiet good luck sunday night 's always bit lottery begin week,"H a v e   a   g o o d   w e e k e n d   e v e r y o n e ,   I   h o p e   n e x t   w e e k   w i l l   b e   q u i e t e r ,   g o o d   l u c k   f o r   S u n d a y   n i g h t ,   i t ' s   a l w a y s   a   b i t   o f   a   l o t t e r y   a t   t h e   b e g i n n i n g   o f   t h e   w e e k .",0.5
ng wo n't open monday night,N g   w o n ' t   o p e n   u n t i l   M o n d a y   n i g h t,0.5
danemark commodity close also us index,D o n   D a n e m a r k   A l l   c o m m o d i t i e s   a r e   c l o s e d ?   A l s o   U . S   i n d i c e s ?,0.5
d careful short nat gas cold may persist celsius still show upward trend hdds say price go may give go back 18s soon,"I ' d   b e   c a r e f u l   s h o r t i n g   n a t   g a s .   T h a t   c o l d   m a y   b e   p e r s i s t i n g   a n d   C e l s i u s   i s   s t i l l   s h o w i n g   a n   u p w a r d   t r e n d   i n   H D D s .   N o t   s a y i n g   p r i c e s   w i l l   g o   u p ,   b u t   i t   m a y   n o t   b e   a   g i v e n   w e   g o   b a c k   t o   1 . 8 s   s o o n .",1
nat gas trade hold small wti long weekend,N o   n a t   g a s   t r a d e   f o r   m e .   I   a m   h o l d i n g   a   s m a l l   W T I   l o n g   o v e r   t h e   w e e k e n d .,0.5
think whichever way gap tuesday 'll take side,I   t h i n k   w h i c h e v e r   w a y   i t   g a p s   o n   T u e s d a y   I ' l l   t a k e   t h e   o t h e r   s i d e,0.5
today way overprice time year gap monday,"S h e   i s   d o n e   f o r   t o d a y .   W a y   o v e r p r i c e d   t h i s   t i m e   a   y e a r ,   w i l l   b e   g a p   d o w n   m o n d a y",0
thank sell nat gas get watch weather sunday night gap open temp drop,T h a n k   y o u   f o r   s e l l i n g   n a t   g a s .   N o w   I   c a n   g e t   i n .   W a t c h   t h e   w e a t h e r   f o r   t h e   s u n d a y   n i g h t   g a p   o p e n .   T e m p   j u s t   d r o p p e d,1
close position - 40-1,A n d   n o w   t h a t   i   h a d   t o   c l o s e   p o s i t i o n   -   4 . 0 -1,0.5
bob ok close priceu r like octopus 🐙 predict win team world cup u remember 🤔 lol,B o b   a r e   w e   o k   w i t h   t h e   c l o s i n g   p r i c e . . . u   r   l i k e   t h e   o c t o p u s   🐙   w h o   p r e d i c t e d   t h e   w i n n i n g   t e a m s   o f   w o r l d   c u p   i f   u   r e m e m b e r   🤔   l o l,0.5
ric 😆,o r   w a s   i t   R i c   😆,0.5
450+,4 . 5 0 +,1
0-1 let 's see many low go,T h e r e   i s   t h e   . 0 -1 .   L e t ' s   s e e   h o w   m a n y   m o r e   l o w s   c a n   i t   g o .,0
long full margin,L o n g   f u l l   m a r g i n,1
maybe,M a y b e,0.5
lot happen 1 day let 's hope happen favor ; ),a   l o t   c a n   h a p p e n   i n   1   d a y s .   l e t ' s   h o p e   i t   h a p p e n   i n   y o u r   f a v o r ; ),0.5
thanks🙂,T h a n k s 🙂,0.5
natural gas oil silver gold like -10x manipulation oil 1 % today someone 's go get whalloped come monday hold short long,N a t u r a l   G a s   i s   t o   O i l   w h a t   S i l v e r   i s   t o   G o l d .   L i k e   -1 0 x .   T h i s   i s   j u s t   m a n i p u l a t i o n s .   O i l   i s   u p   1 %   t o d a y .   S o m e o n e ' s   g o i n g   t o   g e t   w h a l l o p e d   c o m e   M o n d a y   f o r   h o l d i n g   t h e i r   s h o r t s   t o o   l o n g,1
directly impact issue russia russia oil producer globe n't confuse two,w i l l   i s   m o r e   d i r e c t l y   i m p a c t e d   b y   i s s u e s   a n d   w i t h   R u s s i a   a s   R u s s i a   i s   a   o i l   p r o d u c e r   f o r   t h e   g l o b e .   d o n ' t   c o n f u s e   t h e   t w o,0.5
one confuse put oil gas chart side side lol,N o   o n e   h e r e   i s   c o n f u s e d .   P u t   o i l   a n d   g a s   o n   a   c h a r t   s i d e   b y   s i d e   l o l,0.5
small cap large cap way oil gas silver gold peanut butter jelly lol,S m a l l   c a p s   a n d   l a r g e   c a p s   s a m e   w a y   a s   o i l   a n d   g a s   a n d   s i l v e r   a n d   g o l d   o r   p e a n u t   b u t t e r   a n d   j e l l y   l o l,0.5
great weekend hold long weekend,"H a v e   a   g r e a t   w e e k e n d   a l l   ,   w i l l   h o l d   m y   l o n g s   o v e r   w e e k e n d",1
big pump big pump close 40 already bad bear 41 could initiate big gap close 54 gap next week = ),"b i g   p u m p   b i g   p u m p ,   c l o s e   a b o v e   4 . 0   i s   a l r e a d y   b a d   f o r   b e a r ,   a b o v e   4 . 1   c o u l d   i n i t i a t e   a   b i g   g a p   u p   t o   c l o s e   5 . 4   g a p   n e x t   w e e k   = )",1
big gap weekend,B i g   g a p   u p   a f t e r   w e e k e n d,1
hope,I   h o p e   s o,0.5
gap 's get late season price still absurd,G a p   d o w n .   I t ' s   g e t t i n g   l a t e   i n   t h e   s e a s o n   a n d   t h e   p r i c e   i s   s t i l l   a b s u r d .,0
season talk first day winter 0-1 dec lol,W h i c h   s e a s o n   a r e   y o u   t a l k i n g ?   T h e   f i r s t   d a y   o f   w i n t e r   w a s   0 -1   D e c   l o l,0.5
natgas either direction bad bet putin thing,N a t g a s   i n   e i t h e r   d i r e c t i o n   i s   a   b a d   b e t   b e c a u s e   o f   t h i s   P u t i n   t h i n g .,0.5
oil always spike time war uncertainty like hurricane nat gas usually -10x oil hint hint,"O i l   a l w a y s   s p i k e s   d u r i n g   t i m e s   o f   w a r   o r   u n c e r t a i n t y ,   l i k e   h u r r i c a n e s .   N a t   G a s   i s   u s u a l l y   a b o u t   -1 0 x   w h a t   O i l   d o e s   H I N T   H I N T",1
oil always spike time war uncertainty like hurricane nat gas usually -10x oil hint hint,"O i l   a l w a y s   s p i k e s   d u r i n g   t i m e s   o f   w a r   o r   u n c e r t a i n t y ,   l i k e   h u r r i c a n e s .   N a t   G a s   i s   u s u a l l y   a b o u t   -1 0 x   w h a t   O i l   d o e s   H I N T   H I N T",1
green close,G r e e n   c l o s e ?,1
nah hedgies thing pay heat bill eventually lol,N a h   h e d g i e s   d o i n g   t h e i r   t h i n g   b u t   t h e y   w i l l   h a v e   t o   p a y   t h e i r   h e a t i n g   b i l l   e v e n t u a l l y   l o l,1
bail boil 1070 modest gain boring day hold long weekend cheer,b a i l e d   o n   b o i l   a t   1 0 7 0 .   m o d e s t   g a i n   o n   a   b o r i n g   d a y .   n o t   h o l d i n g   o v e r   t h e   l o n g   w e e k e n d .   c h e e r s,0.5
sold short 4010 - 4008,S o l d   m y   s h o r t   f r o m   4 . 0 1 0   -   4 . 0 0 8,1
s still make new low bounce would like see least 0-1,I t ' s   s t i l l   n o t   m a k i n g   a   n e w   l o w   a f t e r   e a c h   b o u n c e .   W o u l d   l i k e   t o   s e e   a t   l e a s t   . 0 -1,1
short sell hedgies manipulate want end day aint gme amc short seller still heat business home get ready cough money one way another,"S h o r t   s e l l i n g   h e d g i e s   c a n   m a n i p u l a t e   t h i s   a l l   t h e y   w a n t ,   b u t   a t   t h e   e n d   o f   t h e   d a y   t h i s   a i n t   G M E   o r   A M C .   S h o r t   s e l l e r s   s t i l l   h a v e   t o   h e a t   t h e i r   b u s i n e s s e s   a n d   h o m e s   s o   g e t   r e a d y   t o   c o u g h   u p   s o m e   m o n e y   o n e   w a y   o r   a n o t h e r",0.5
putin invade ukraine chime imo yes,"w i l l   p u t i n   i n v a d e   U k r a i n e   ?   c h i m e   i n   ,   i m o   y e s  ",1
closed 4-10 long 409 see guy next week n't see carnies post stuff feel good feel ashamed joke fake trade,"C l o s e d   m y   4 . -1 0   l o n g   a t   4 . 0 9 ,   s e e   y o u   g u y s   n e x t   w e e k .   I   d o n ' t   s e e   h o w   c a r n i e s   p o s t   t h i s   s t u f f   a n d   f e e l   g o o d   a b o u t   t h e m s e l v e s .   I   f e e l   a s h a m e d   j u s t   j o k i n g   a b o u t   a   f a k e   t r a d e",1
big ol ’ ego stroke,B i g   o l ’   e g o   s t r o k e .  ,0.5
,F o r   t h e m .  ,0.5
john long woooo nice overnight trade n't think would go way back trend still long ttyl,"J o h n   L o n g   w o o o o ,   n i c e   o v e r n i g h t   t r a d e ,   I   d i d n ' t   t h i n k   i t   w o u l d   g o   a l l   t h e   w a y   b a c k   t o   t h e   t r e n d .   S t i l l   l o n g ,   t t y l",0.5
fd people etf short today march like 8 cent,T h e y   f d   p e o p l e   w i t h   e t f   s h o r t s   t o d a y . . .   M a r c h   i s   u p   l i k e   8   c e n t s . . . . .  ,0.5
vet -1 dollarovv 1 dollarsapache dollar ( add long today apa sell soon ) bring u ritchesand ask return isyes bosslet 's look cot,"V e t   i s   u p   a   -1   d o l l a r . . . . O V V   u p   1   d o l l a r s . . . . A p a c h e   u p   a   d o l l a r . . . . ( I   a d d e d   m o r e   l o n g   t o d a y   o n   A P A ,   b u t   s o l d   t o o   s o o n ) . . . . I   b r i n g   U   r i t c h e s . . . . . A n d   a l l   I   a s k   i n   r e t u r n   i s . . . . . Y E S   B O S S . . . . . . . L e t ' s   l o o k   a t   t h e   c o t .",0.5
cot say bullishnext mid week bulls need vanquish bear send back dark lonely cave,c o t   s a y s   . . . . . . . b u l l i s h . . . . n e x t   m i d   w e e k   t h e   B u l l s   n e e d   t o   v a n q u i s h   t h e   b e a r s   a n d   s e n d   t h e m   b a c k   t o   t h e i r   d a r k   a n d   l o n e l y   c a v e s .,1
send back ratchety shop cart,a n d   s e n d   t h e m   b a c k   w i t h   t h e i r   r a t c h e t y   s h o p p i n g   c a r t s,0.5
seem one doesnt ' understand russia ukraine price us /ng us export -100 % capacity already matter even little bit price overseas eia report include export honest questiontrying decide hold truckload kold weekend terrible idea,"i   s e e m   t o   b e   t h e   o n l y   o n e   h e r e   t h a t   d o e s n t '   u n d e r s t a n d   w h a t   R u s s i a   a n d   U k r a i n e   h a v e   t o   d o   w i t h   t h e   p r i c e   o f   U S   / N G .   I f   U S   i s   e x p o r t i n g   a t   -1 0 0 %   c a p a c i t y   a l r e a d y ,   t h e n   w h y   d o e s   i t   m a t t e r   e v e n   a   l i t t l e   b i t   w h a t   t h e   p r i c e   i s   o v e r s e a s ?   E I A   r e p o r t   i n c l u d e s   e x p o r t s .   H o n e s t   q u e s t i o n . . . . . . t r y i n g   t o   d e c i d e   i f   h o l d i n g   t h i s   t r u c k l o a d   o f   K O L D   o v e r   t h e   w e e k e n d   i s   a   t e r r i b l e   i d e a",0.5
russia ukraine psycological impact ng price holding kold stage like play house,R u s s i a   a n d   U k r a i n e   h a v e   a   p s y c o l o g i c a l   i m p a c t   o n   N G   p r i c e s .   H o l d i n g   K O L D   a t   t h i s   s t a g e   i s   l i k e   p l a y i n g   a g a i n s t   t h e   h o u s e .  ,1
sentiment hype ensure us lng export stay maxed,"o t h e r   t h a n   s e n t i m e n t   a n d   h y p e ,   i t   e n s u r e s   t h a t   U S   L N G   e x p o r t s   w i l l   s t a y   m a x e d   o u t",1
rollover hnd already full march,w h e n   i s   r o l l o v e r ?   H N D   a l r e a d y   f u l l   i n   m a r c h .,0.5
really bullish usage forecast hard say price price follow fundys go,s o m e   r e a l l y   b u l l i s h   u s a g e   f o r e c a s t s   b u t   h a r d   t o   s a y   w h a t   i t   s h o u l d   b e   p r i c e d   a t .   i f   p r i c e   f o l l o w s   f u n d y s   i t   s h o u l d   g o   u p .  ,1
consider - usage past future feb matter project inventory imo apart manipulation non fundemental factor,"j u s t   t o   c o n s i d e r   -   u s a g e   i s   p a s t .   T h i s   i s   a   f u t u r e s   f o r   F E B ,   w h a t   m a t t e r s   i s   p r o j e c t e d   i n v e n t o r y   I M O .   A p a r t   f r o m   m a n i p u l a t i o n s   a n d   o t h e r   n o n   f u n d e m e n t a l   f a c t o r s",0.5
usage past future keep dreaming,U s a g e   i s   p a s t   o n   f u t u r e s ?   K e e p   d r e a m i n g,0.5
war historically make democrat,a l l   t h e   w a r s   h i s t o r i c a l l y   a r e   m a d e   b y   d e m o c r a t s,0.5
u see video trump saysu wan na high pricesgas 6-7honey let 's sell car 🚗 😉,h a v e   u   s e e n   t h a t   v i d e o   w h e n   T r u m p   s a y s . . . u   w a n n a   h i g h e r   p r i c e s . . . g a s   a t   6 - 7 . . . h o n e y   l e t ' s   s e l l   t h e   c a r   🚗   😉,1
must miss breaking news flash putin join democrat party,I   m u s t   h a v e   m i s s e d   t h e   B r e a k i n g   N e w s   F l a s h   t h a t   P u t i n   j o i n e d   t h e   D e m o c r a t   p a r t y,0.5
boring,B o r i n g,0.5
important gas trade stochastic rsi macd,"w h a t   i s   m o r e   i m p o r t a n t   i n   g a s   t r a d i n g ,   s t o c h a s t i c   R S I   o r   M A C D ?",0.5
-100 % ric flair say say would say none well one another specific technical important rich n't possible since market net gain 0 trade standpoint would say 're guess direction whale go take base fundamental technical outlook wrong call manipulation right call smart would say technical one may appear well align recent day n't mean 'll case forever would n't depend whale charge day lol,"-1 0 0 %   w i t h   w h a t   R i c   F l a i r   s a i d .   t h a t   b e i n g   s a i d ,   i   w o u l d   s a y   n o n e   i s   b e t t e r   t h a n   o n e   a n o t h e r .   i f   a   s p e c i f i c   t e c h n i c a l   i s   m o r e   i m p o r t a n t   t h e n   w e   a r e   a l l   r i c h   b y   n o w   w h i c h   i s n ' t   p o s s i b l e   s i n c e   m a r k e t   n e t   g a i n   i s   0 .   F r o m   t r a d i n g   s t a n d p o i n t ,   I   w o u l d   s a y   w e ' r e   a l l   j u s t   g u e s s i n g   w h i c h   d i r e c t i o n   t h e   w h a l e   i s   g o i n g   t o   t a k e   b a s e d   o n   f u n d a m e n t a l   a n d   t e c h n i c a l   o u t l o o k .   w h e n   w r o n g ,   w e   c a l l   i t   m a n i p u l a t i o n ,   w h e n   r i g h t   w e   c a l l   o u r s e l v e s   s m a r t .   i   w o u l d   s a y   t h e   s a m e   i s   w i t h   t h e   t e c h n i c a l ,   o n e   o f   t h e s e   m a y   a p p e a r   t o   b e   b e t t e r   a l i g n e d   i n   r e c e n t   d a y s   b u t   i t   d o e s n ' t   m e a n   i t ' l l   b e   t h e   c a s e   f o r e v e r .   w o u l d n ' t   a l l   o f   t h i s   d e p e n d s   o n   t h e   w h a l e   i n   c h a r g e   o n   t h e   d a y   o f ?   l o l",0.5
way everybody smell gassy,t h a t   w a y   e v e r y b o d y   s m e l l s   g a s s y,0.5
bias trend trade level safe sl riskreward -11,N o   b i a s   w i t h   t r e n d . . . .   T r a d e   w i t h   l e v e l   w i t h   s a f e   S L .   . .   R i s k : R e w a r d   . .   -1 : 1,0.5
coldest jan 8 yr somehow still warm winter record accord ceo,"C o l d e s t   J a n   i n   8   y r s ,   b u t   s o m e h o w   s t i l l   w a r m e s t   w i n t e r   o n   r e c o r d   a c c o r d i n g   t o   t h e   C E O",1
hd hd 's warm winter record regardless fall month rofl might well throw september,H D   H D   i t ' s   n o t   w a r m e s t   w i n t e r   o n   r e c o r d   r e g a r d l e s s   o f   f a l l   m o n t h s   R O F L   m i g h t   a s   w e l l   t h r o w   S e p t e m b e r   i n   t h e r e,0.5
gary st short day future,g a r y   s t   s h o r t   d a y   f o r   f u t u r e s,0
ty - check - martin luther king hold anything weekend lose etf,T Y   -   c h e c k e d   -   M a r t i n   L u t h e r   K i n g !   t o   h o l d   a n y t h i n g   o v e r   w e e k e n d .   j u s t   l o s t   o n   t h e   d o w n   o f   t h e   E T F,0.5
important gas trade stochastic rsi macd,"w h a t   i s   m o r e   i m p o r t a n t   i n   g a s   t r a d i n g ,   s t o c h a s t i c   R S I   o r   M A C D ?",0.5
macd 5m,M A C D   5 M,0.5
kev besselsen thx ur reply u mean 5m default -10069,"K e v   B e s s e l s e n   t h x   f o r   u r   r e p l y .   w h a t   d o   u   m e a n   b y   5 M ?   t h e   d e f a u l t   -1 0 , 0 6 , 9",0.5
kev besselsenyes primarily use sar rsi daytrading,K e v   B e s s e l s e n Y e s .   T h i s   i s   p r i m a r i l y   w h a t   I   u s e   w i t h   S A R   a n d   R S I .   F o r   d a y t r a d i n g .  ,0.5
first time singh might right bull n't breakout one month consolidation nothing,"F o r   t h e   f i r s t   t i m e   S i n g h   m i g h t   b e   r i g h t .   T h e   b u l l   i s   n o t   o v e r   ,   w e   d o n ' t   b r e a k o u t   t h e   o n e   m o n t h   c o n s o l i d a t i o n   f o r   n o t h i n g . . . .  ",0.5
lol 1679 yes maybe 5 joke 5 hit next week,"L o l   1 . 6 7 9 ?   Y e s   m a y b e   a f t e r   5 ,   n o   j o k e   5   w i l l   h i t   n e x t   w e e k",1
wang like ng brutal move like hat btc $ 1 dollers come wang messenger proof believe amen,W a n g   l i k e   N G   b r u t a l   m o v e s   j u s t   l i k e   h e   h a t e s   B T C .   $ 1   d o l l e r s   c o m i n g .   W a n g   i s   a   m e s s e n g e r   p r o o f   t o   b e l i e v e .   A M E N,0
switched hat kold boil 1 day putin could get nut weekend possibility,S w i t c h e d   h a t s   f r o m   K O L D   t o   B O I L   f o r   t h e   1   d a y   P u t i n   c o u l d   g e t   n u t s   w e e k e n d   p o s s i b i l i t i e s,1
'm trader attempt read tea leave n't marry play traking safety spin weekend back kold next week bob- key need lock tight loonytune,"I ' m   a   t r a d e r . .   I   a t t e m p t   t o   r e a d   t h e   t e a   l e a v e s .   I   d o n ' t   m a r r y   t h e   p l a y   h e r e ,   j u s t   t r a k i n g   i t   o u t   f o r   a   s a f e t y   s p i n   o v e r   t h e   w e e k e n d ,   t h e n   w i l l   b e   b a c k   i n   K O L D   n e x t   w e e k .   A s   f o r   B o b -   t h e   k e y s   n e e d   t o   b e   l o c k e d   u p   t i g h t   f o r   t h a t   l o o n y t u n e",0.5
ns0 wont open long conflict isnt clear,n s 0   w o n t   b e   o p e n e d   s o   l o n g   t h a t   c o n f l i c t   i s n t   c l e a r e d,0.5
russian wont invade anyone jan royal family freeze death jan 1rd empire stick snow jan history everyone 's memory putin play war game everyone crash ukraine economy,R u s s i a n   w o n t   i n v a d e   a n y o n e   i n   J a n .   I t s   o w n   R o y a l   f a m i l y   f r o z e n   t o   d e a t h   i n   J a n .   1 r d   E m p i r e   s t u c k   i n   s n o w   i n   J a n .   T h a t   i s   i t s   h i s t o r y   i n   e v e r y o n e ' s   m e m o r y .   P u t i n   j u s t   p l a y   w a r   g a m e   w i t h   e v e r y o n e   t o   c r a s h   U k r a i n e   e c o n o m y,0.5
vol keep cage next week gon na wildthat call manipulation get one long short top,A l l   t h a t   V o l   a n d   t h e y   k e e p i n g   i t   c a g e d   n e x t   w e e k   s h e   g o n n a   b e   w i l d . . . t h a t   w h a t   y o u   c a l l   i t   M a n i p u l a t i o n . . .   I   m   g e t t i n g   o n e   l o n g   t h e n   s h o r t   i t   a g a i n   f r o m   t h e   t o p   . .,1
bob teach long time agoit never wrong collect profit bless dayglta,b o b   t a u g h t   m e   a   l o n g   t i m e   a g o . . i t   n e v e r   w r o n g   t o   c o l l e c t   p r o f i t s   w e   h a v e   h a d   a   b l e s s e d   d a y . . . g l t a . . .,0.5
